"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"1517","Q6868001","Minneapolis Mayhem","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Minneapolis_Mayhem",NA,NA,NA,NA,NA
"1520","Q6894166","Mohicans Football Club","rugby union team","1869-01-01",NA,"Mohicans",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Mohicans_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Mohicans_Football_Club"
"1524","Q6901115","Monmouth Rugby Club","rugby union team","1973-01-01",NA,"Monmouth Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Monmouth_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Monmouth_Rugby_Club"
"1527","Q6906248","Montreal Barbarians","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Barbarians",NA,NA,NA,NA,NA
"1528","Q6906280","Montreal Football Club","rugby union team",NA,"1915-01-01",NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Montreal_Football_Club",NA,NA,NA,NA,NA
"1529","Q6906344","Montreal Wanderers RFC","rugby union club",NA,NA,"Montreal Wanderers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montreal_Wanderers_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Montreal_Wanderers_RFC"
"1530","Q6911569","Morgan Academy RFC","rugby union team",NA,NA,"Morgan Rugby Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Morgan_Academy_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Morgan_Academy_RFC"
"1541","Q6944635","Mwamba RFC","rugby union team","1977-01-01",NA,"Mwamba Rugby Football Club",NA,"Kenya",NA,NA,NA,NA,NA,NA,NA,"Mwamba_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Mwamba_RFC"
"1542","Q6948969","Mystic River Rugby Club","rugby union team","1974-01-01",NA,"Mystic River Rugby",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Mystic_River_Rugby_Club","Mystic_River_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Mystic_River_Rugby_Club"
"1543","Q6955430","NS Wanderers RC","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NS_Wanderers_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/NS_Wanderers_RC"
"1544","Q6955480","NTNUI Rugby","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NTNUI_Rugby",NA,NA,NA,NA,NA
"1551","Q6966973","Nashville Grizzlies RFC","rugby union team",NA,NA,NA,NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Nashville_Grizzlies_RFC",NA,NA,NA,NA,NA
"1557","Q7006128","New Brunswick Timber","rugby union team",NA,NA,"Black Spruce Rugby; Spruce",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"New_Brunswick_Timber",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Brunswick_Timber"
"1558","Q7008541","New Haven Old Black RFC","rugby union team","1986-01-01",NA,"New Haven Old Black Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"New_Haven_Old_Black_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Haven_Old_Black_RFC"
"1559","Q7010784","New Orleans Rugby Football Club","rugby union team","1973-01-01",NA,"NORFC",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"New_Orleans_Rugby_Football_Club","New_Orleans_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/New_Orleans_Rugby_Football_Club"
"1562","Q7015235","New Zealand Barbarians","rugby union club","1937-01-01",NA,"New Zealand Barbarian Rugby Club Inc.; Baa-Baas",NA,"New Zealand",NA,NA,NA,NA,"Kingsland",NA,NA,"New_Zealand_Barbarians","Barbarians_de_la_Nouvelle-Z%C3%A9lande",NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_Barbarians"
"1563","Q7015419","New Zealand Heartland XV","national rugby union team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_Heartland_XV",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_Heartland_XV"
"1564","Q7016264","New Zealand national under-19 rugby union team","rugby union team",NA,NA,NA,NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-19_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_national_under-19_rugby_union_team"
"1565","Q7016267","New Zealand national under-21 rugby union team","rugby union team",NA,NA,"Colts (formerly); Colts",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-21_rugby_union_team",NA,NA,NA,NA,"http://dbpedia.org/resource/New_Zealand_national_under-21_rugby_union_team"
"1566","Q7016275","New Zealand national under-20 rugby union team","rugby union team",NA,NA,"Seleccion juvenil de rugby de Nueva Zelanda; nazionale neozelandese u-20 di rugby; ニュージーランドU20; Baby Blacks",NA,"New Zealand",NA,NA,NA,NA,NA,NA,NA,"New_Zealand_national_under-20_rugby_union_team","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV_des_moins_de_20_ans",NA,"Selecci%C3%B3n_juvenil_de_rugby_de_Nueva_Zelanda","U-20%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/New_Zealand_national_under-20_rugby_union_team"
"1574","Q7048433","Nomads R.F.C.","rugby union team","1989-01-01",NA,"Nomads RFC; Nomads Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nomads_R.F.C.",NA,NA,NA,NA,"http://dbpedia.org/resource/Nomads_R.F.C."
"1576","Q7049259","Nondescripts RFC","rugby union team",NA,NA,"Nondescripts; Nondies; Nondescripts Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nondescripts_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Nondescripts_RFC"
"1577","Q7050995","Norfolk Blues","rugby union team",NA,NA,"Blues; Norfolk City Blues RFC; Norfolk City Blues Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Norfolk_Blues",NA,NA,NA,NA,"http://dbpedia.org/resource/Norfolk_Blues"
"1584","Q7057169","North Wales rugby","rugby union team",NA,NA,"North Wales; The Gogs; North Wales Rugby Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,"North_Wales_rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/North_Wales_rugby"
"1587","Q7058067","Northeastern University Rugby Club","rugby union team","1984-01-01",NA,"NURFC; Maddogs; Northeastern University Rugby Football Club; Northeastern Rugby Club",NA,"U.S.A.",NA,NA,NA,NA,"Brookline",NA,NA,"Northeastern_University_Rugby_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Northeastern_University_Rugby_Club"
"1591","Q7059701","Norths Devils","rugby union club","1891-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Norths_Devils",NA,NA,NA,NA,NA
"1592","Q7063469","Notre Dame Rugby Football Club","rugby union team","1961-01-01",NA,"Notre Dame Fighting Irish rugby; Notre Dame",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Notre_Dame_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Notre_Dame_Rugby_Football_Club"
"1594","Q7064135","Nova Scotia Keltics","rugby union team",NA,NA,"Nova Scotia Keltics Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Nova_Scotia_Keltics",NA,NA,NA,NA,"http://dbpedia.org/resource/Nova_Scotia_Keltics"
"1598","Q7074227","Oakthorpe Invitational","rugby union team",NA,NA,"Oakthorpe Invitational Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Oakthorpe_Invitational"
"1600","Q7083490","Old Blue R.F.C.","rugby union team","1963-01-01",NA,"Old Blue RFC; Snorting Bulls; Old Blue Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Old_Blue_R.F.C.","Old_Blue_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Old_Blue_R.F.C."
"1604","Q7083657","Old Christians Club","rugby union club","1692-12-01",NA,"OCC",NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,"Old_Christians_Club","Old_Christians_Club","Old_Christians_Club","Old_Christians_Club","%E3%82%AA%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%86%E3%82%A3%E3%82%A2%E3%83%B3%E3%82%B9%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%96","http://dbpedia.org/resource/Old_Christians_Club"
"1608","Q7084108","Old Gold Rugby","rugby union club","1974-01-01",NA,"Old Gold; Old Gold Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Old_Gold_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Gold_Rugby"
"1616","Q7085172","Old Swinford Hospital RFC","rugby union club",NA,NA,"Old Swinford Hospital RFUC",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Old_Swinford_Hospital_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Old_Swinford_Hospital_RFC"
"1621","Q7089249","Olympus Rugby XV Madrid","rugby union team","2009-01-01",NA,NA,NA,"Spain",NA,NA,NA,NA,NA,NA,NA,"Olympus_Rugby_XV_Madrid",NA,NA,"Olympus_Rugby_XV_Madrid",NA,"http://dbpedia.org/resource/Olympus_Rugby_XV_Madrid"
"1622","Q7094611","Ontario Blues","rugby union team",NA,NA,"Ontario Blues Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ontario_Blues","Ontario_Blues",NA,NA,NA,"http://dbpedia.org/resource/Ontario_Blues"
"1623","Q7094889","Ontario Rugby Union","rugby union club",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Ontario_Rugby_Union","Ontario_Rugby_Union",NA,NA,NA,NA
"1624","Q7107044","Oslo RK","rugby union team","1964-01-01",NA,"Oslo Rugbyklubb; Oslo Rugby Klubb",NA,"Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/Oslo_RK"
"1626","Q7109183","Ottawa Harlequins","rugby union team",NA,NA,"Ottawa Harlequins Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Ottawa_Harlequins",NA,NA,NA,NA,"http://dbpedia.org/resource/Ottawa_Harlequins"
"1627","Q7109277","Ottawa Wolves RFC","rugby union team",NA,NA,"Ottawa Wolves; Ottawa Wolves Rugby Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ottawa_Wolves",NA,NA,NA,NA,"http://dbpedia.org/resource/Ottawa_Wolves"
"1628","Q7113927","Overseas RUFC","rugby union team","1946-01-01",NA,"Overseas Rugby Union Football Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overseas_RUFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Overseas_RUFC"
"1629","Q7113937","Overseas Unions rugby union team","national rugby union team",NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Five_Nations_XV_v_Overseas_Unions_XV",NA,NA,NA,NA,NA
"1631","Q7122744","Pacific Tyee","rugby union team","2009-01-01",NA,"BC Bears",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"BC_Bears","British_Columbia_Bears",NA,NA,NA,"http://dbpedia.org/resource/BC_Bears"
"1635","Q7132791","Paphos Tigers","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paphos_Tigers",NA,NA,NA,NA,NA
"1637","Q7141560","Pasadena Rugby Football Club","rugby union team","1971-01-01",NA,"PRFC; Pasadena RFC",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Pasadena_Rugby_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Pasadena_Rugby_Football_Club"
"1638","Q7142896","Past Brothers","rugby union club","1929-01-01",NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,"Past_Brothers",NA,NA,NA,NA,NA
"1648","Q7165431","Penzance RFC","rugby union team","1876-01-01",NA,"Penzance Rugby Football Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Penzance_RFC",NA,NA,NA,NA,"http://dbpedia.org/resource/Penzance_RFC"
"1655","Q7182849","Philadelphia Whitemarsh RFC","rugby union team","1985-01-01",NA,"Philadelphia - Whitemarsh RFC; The Rugby Club; Philadelphia - Whitemarsh Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Philadelphia_Whitemarsh_RFC","Philadelphia_Whitemarsh_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Philadelphia_Whitemarsh_RFC"
"1658","Q7209799","Polis Egaleo Rugby","rugby union team",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polis_Egaleo_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Polis_Egaleo_Rugby"
"1671","Q7232030","Portland Rugby Football Club","rugby union club",NA,NA,"Portland Rugby Football Club (Maine); Portland RFC",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Portland_Rugby_Football_Club_(Maine)",NA,NA,NA,NA,"http://dbpedia.org/resource/Portland_Rugby_Football_Club_(Maine)"
"1672","Q7232031","Portland Rugby Football Club","rugby union club","1961-01-01",NA,"Portland Rugby Football Club (Oregon); Pigs; Portland",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Portland_Rugby_Football_Club_(Oregon)",NA,NA,NA,NA,"http://dbpedia.org/resource/Portland_Rugby_Football_Club_(Oregon)"
"1676","Q7232856","Porvoo RC","rugby union team",NA,NA,"Old Town Shamrocks Porvoo RC; Shamrocks; Old Town Shamrocks Porvoo Rugby Club",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porvoo_RC",NA,NA,NA,NA,"http://dbpedia.org/resource/Porvoo_RC"
"1677","Q7235040","Potomac Athletic Club RFC","rugby union team","1988-01-01",NA,"Potomac Athletic Club Rugby Team; PAC Rugby",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Potomac_Athletic_Club_RFC","Potomac_Athletic_Club_Rugby_Football_Club",NA,NA,NA,"http://dbpedia.org/resource/Potomac_Athletic_Club_RFC"
"1678","Q7238028","Prairie Wolf Pack","rugby union team",NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Prairie_Wolf_Pack","Prairie_Wolf_Pack",NA,NA,NA,"http://dbpedia.org/resource/Prairie_Wolf_Pack"
"1682","Q7244380","Prince of Wales Country Club","rugby union club","1925-01-01",NA,NA,NA,"Chile",NA,NA,NA,NA,NA,NA,NA,"Prince_of_Wales_Country_Club",NA,NA,"Prince_of_Wales_Country_Club_(Rugby)",NA,NA
"1683","Q7245002","Princeton Rugby","rugby union club","1876-01-01",NA,"Princeton University RFC; Tigers; Princeton University Rugby Football Club; http://dbpedia.org/resource/Princeton_Tigers",NA,"U.S.A.","Ivy Rugby Conference",NA,NA,NA,NA,NA,NA,"Princeton_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Princeton_Rugby"
"1684","Q7252475","Providence Rugby","rugby union club",NA,NA,"Providence RFC; Providence Rugby Football Club",NA,"U.S.A.",NA,NA,NA,NA,NA,NA,NA,"Providence_Rugby",NA,NA,NA,NA,"http://dbpedia.org/resource/Providence_Rugby"
"1685","Q7257573","Public School Wanderers","rugby union team",NA,NA,"PSW, Wanderers; Public School Wanderers Rugby and Cricket Club",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Public_School_Wanderers",NA,NA,NA,NA,"http://dbpedia.org/resource/Public_School_Wanderers"
"1686","Q7260313","Punjab Warriors","rugby union team",NA,NA,"Punjab Warriors (Pakistani rugby team)",NA,"Pakistan",NA,NA,NA,NA,NA,NA,NA,"Punjab_Warriors_(Pakistani_rugby_team)",NA,NA,NA,NA,"http://dbpedia.org/resource/Punjab_Warriors_(Pakistani_rugby_team)"
"1689","Q7264653","Pécsi Indiánok SK","rugby union team","1996-01-01",NA,"Pecsi Indianok SK; Indiánok (Indians); Pécsi Indiánok; Pécsi Indiánok Rögbi Klub; Indiánok",NA,"Hungary",NA,NA,NA,NA,NA,NA,NA,"P%C3%A9csi_Indi%C3%A1nok_SK",NA,NA,NA,NA,"http://dbpedia.org/resource/Pécsi_Indiánok_SK"
"1691","Q7269756","Quebec Caribou","rugby union team",NA,NA,"Quebec Caribou Rugby Football Club",NA,"Canada",NA,NA,NA,NA,NA,NA,NA,"Quebec_Caribou",NA,NA,NA,NA,"http://dbpedia.org/resource/Quebec_Caribou"
"1692","Q7270016","Queen's House Football Club","rugby union team","1867-01-01",NA,"Queen's House",NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,"Queen%27s_House_Football_Club",NA,NA,NA,NA,"http://dbpedia.org/resource/Queen's_House_Football_Club"
"1695","Q7276157","RC Aia","rugby union team",NA,NA,"აია; RC Aia Kutaisi; აია ქუთაისი; Rugby Club Aia Kutaisi",NA,"Georgia",NA,NA,"Aia Arena",NA,"Kutaisi",NA,"11gdgrqj90","RC_Aia_Kutaisi","Rugby_Club_Aia",NA,NA,"RC%E3%82%A2%E3%82%A4%E3%82%A2%E3%83%BB%E3%82%AF%E3%82%BF%E3%82%A4%E3%82%B7","http://dbpedia.org/resource/RC_Aia_Kutaisi"
"1696","Q7276158","RC Antares","rugby union club",NA,NA,"РК Антарес; Rugby Club Antares",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Antares",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Antares"
"1697","Q7276159","RC Argo","rugby union team","1992-01-01",NA,"Rugby Club Argo",NA,"Ukraine",NA,NA,NA,NA,"Kyiv",NA,NA,"RC_Argo",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Argo"
"1698","Q7276160","RC Arka Gdynia","rugby union team","1996-01-01",NA,"Arka Gdynia; Buldogi (Bulldogs); Buldogi",NA,"Poland",NA,NA,NA,NA,NA,NA,NA,"RC_Arka_Gdynia",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Arka_Gdynia"
"1699","Q7276161","RC Aviator","rugby union club","1963-01-01",NA,"Авиатор (регбийный клуб); РК Авиатор; Rugby Club Aviator",NA,"Ukraine","Ukrainian Rugby Championship",NA,"Spartak Stadium, Kyiv",NA,"Kyiv",NA,NA,"RC_Aviator",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Aviator"
"1700","Q7276162","RC Batyari","rugby union team","2009-01-01",NA,"Batyari (Batiars); Rugby Club Batyari; Batyari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Batyari",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Batyari"
"1701","Q7276164","RC Bystrc","rugby union club","1953-01-01",NA,"Rugby Club Bystrc",NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Bystrc",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Bystrc"
"1702","Q7276166","Rugby Union Donau Wien","rugby union team","1999-01-01",NA,"RC Donau; Damen; Juniorpiraten; Korsaren (Corsairs) - B-team; Mini Piraten; Piraten (Pirates) - A-team; Korsaren  - B-team; Piraten  - A-team",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Donau","Rugby_Union_Donau_Wien",NA,NA,NA,"http://dbpedia.org/resource/RC_Donau"
"1703","Q7276167","RC Dnepr","rugby union team","2009-01-01",NA,"RC Dnipro; Rugby Club Dnepr",NA,"Ukraine",NA,NA,NA,NA,"Dnipro",NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Dnipro"
"1704","Q7276169","RC Epokha-Polytechnic","rugby union club","1962-01-01",NA,"Политехник (регбийный клуб, Киев); РК Политехник Киев; Rugby Club Epokha-Polytechnic",NA,"Ukraine",NA,NA,NA,NA,"Kyiv",NA,NA,"RC_Epokha-Polytechnic",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Epokha-Polytechnic"
"1705","Q7276170","RC Evko-More","rugby union team","1973-01-01",NA,"Rugby Club Evko-More",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Evko-More",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Evko-More"
"1706","Q7276171","RC Girnik","rugby union team",NA,NA,"RC Hirnyk; Girnik (Miners); Rugby Club Girnik; Girnik",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Hirnyk",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Hirnyk"
"1707","Q7276172","RC Graz","rugby union club",NA,NA,"Rugby Club Graz",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"RC_Graz",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Graz"
"1708","Q7276176","RC Havířov","rugby union club","1966-01-01",NA,"Rugby Club Havířov",NA,"Czechia",NA,NA,NA,NA,NA,NA,NA,"RC_Hav%C3%AD%C5%99ov",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Havířov"
"1709","Q7276177","RC Krems","rugby union team",NA,NA,"Rugby Union Club Krems; Rugby Club Krems",NA,"Austria",NA,NA,NA,NA,"Krems",NA,NA,"RC_Krems",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Krems"
"1710","Q7276184","RC Obolon-University","rugby union team","1984-01-01",NA,"RC Podillya; RK Podillia; Rugby Club Obolon-University",NA,"Ukraine","Ukrainian Rugby Championship",NA,NA,NA,NA,NA,"11c5fzsbzm","RC_Obolon-University",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Obolon-University"
"1711","Q7276185","RC Olymp","rugby union club","1989-01-01",NA,"Rugby Club Olymp",NA,NA,NA,NA,NA,NA,"Kharkiv",NA,NA,"RC_Olymp",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Olymp"
"1712","Q7276186","RC Odense","rugby union team","1980-01-01",NA,"Rugby Club Odense",NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"RC_Odense",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Odense"
"1713","Q7276187","RC Polytechnic","rugby union club","1965-01-01",NA,"Rugby Club Polytechnic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Polytechnic",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Polytechnic"
"1714","Q7276189","RC Písek","rugby union team","2008-01-01",NA,"RC Pisek; Vepřová kolena (Pork knee); Rugby Club Písek; Vepřová kolena",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_P%C3%ADsek",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Písek"
"1715","Q7276190","RC Přelouč","rugby union team","1974-01-01",NA,"Rugby Club Přelouč",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_P%C5%99elou%C4%8D",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Přelouč"
"1716","Q7276196","RC Rivne","rugby union team","1999-01-01",NA,"Rivne Sevens; РК Рівне; РК «Рівне»; Rugby Club Rivne",NA,"Ukraine",NA,NA,NA,NA,"Rivne",NA,NA,"RC_Rivne",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Rivne"
"1717","Q7276197","RC Roland","rugby union team",NA,NA,"Rugby Club Roland",NA,"Ukraine",NA,NA,NA,NA,"Ivano-Frankivsk",NA,NA,"RC_Roland",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Roland"
"1718","Q7276198","RC Spartak Trnava","rugby union team",NA,NA,"Rugby Club Spartak Trnava",NA,"Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Spartak_Trnava"
"1719","Q7276199","RC Slovan Bratislava","rugby union team","2003-01-01",NA,"RC Slovan Bratysława; Rugby Club Slovan Bratislava",NA,"Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Slovan_Bratislava"
"1720","Q7276200","RC Spartan Oradea","rugby union team",NA,NA,"Spartan Oradea; Spartanii (Spartans); Rugby Club Spartan Oradea; Spartanii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Spartan_Oradea",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Spartan_Oradea"
"1721","Q7276203","RC Varna","rugby union team","1964-01-01",NA,"Rugby Club Varna",NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"RC_Varna",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Varna"
"1722","Q7276206","RC Yantra Gabrovo","rugby union team","1973-01-01",NA,"Rugby Club Yantra Gabrovo",NA,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,"RC_Yantra_Gabrovo",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Yantra_Gabrovo"
"1723","Q7276209","RC Vyškov","rugby union team","1952-01-01",NA,"Rugby Club Vyškov",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Vy%C5%A1kov",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Vyškov"
"1724","Q7276211","RC Zlín","rugby union team","1944-01-01",NA,"RC Zlin; Rugby Club Zlín",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RC_Zl%C3%ADn",NA,NA,NA,NA,"http://dbpedia.org/resource/RC_Zlín"
"1725","Q7276572","RFC Haarlem","rugby union team","1980-01-01",NA,"Rugby Football Club Haarlem",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RFC_Haarlem",NA,NA,NA,NA,"http://dbpedia.org/resource/RFC_Haarlem"
"1727","Q7276915","RK Nada","rugby union team","1959-02-23",NA,"Ragbi Klub Nada; RK Dalma; RK Nada Split; Rugby klub Nada",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,"RK_Nada_Split",NA,"Ragbi_klub_Nada",NA,NA,"http://dbpedia.org/resource/RK_Nada_Split"
"1728","Q7276919","RK Petrovice","rugby union team","1944-01-01",NA,"Rugby Klub Petrovice",NA,"Czechia",NA,NA,NA,NA,"Prague",NA,NA,"RK_Petrovice",NA,NA,NA,NA,"http://dbpedia.org/resource/RK_Petrovice"
"1729","Q7276924","RK Sisak","rugby union team","1970-01-01",NA,"Ragbi klub Student; Ragbijaški klub Sisak; Ragbi klub Sisak",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,"RK_Sisak",NA,NA,NA,NA,"http://dbpedia.org/resource/RK_Sisak"
"1730","Q7276932","RK Zagreb","rugby union team","1964-01-01",NA,"Ragbi klub Trgovački; RK Zagreb (rugby union); Rugby klub Zagreb",NA,"Croatia",NA,NA,NA,NA,NA,NA,NA,"RK_Zagreb_(rugby_union)",NA,"Ragbi_klub_Zagreb",NA,NA,"http://dbpedia.org/resource/RK_Zagreb_(rugby_union)"
"1731","Q7282829","Ragbi Klub Crvena Zvezda","rugby union team",NA,NA,"Rugby Club Red Star; RK Red Star; ; Рагби Клуб Црвена Звезда",NA,"Serbia",NA,NA,NA,NA,NA,NA,NA,"Rugby_Club_Red_Star",NA,NA,NA,NA,"http://dbpedia.org/resource/Rugby_Club_Red_Star"
